"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AAPL","Apple Inc.","156.55","808616443400","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"AMAT","Applied Materials, Inc.","53.23","56769111792.95","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"AAOI","Applied Optoelectronics, Inc.","61.44","1185989222.4","n/a","2013","Technology","Semiconductors","http://www.nasdaq.com/symbol/aaoi",
"APTI","Apptio, Inc.","18.56","741577179.52","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/apti",
"ANET","Arista Networks, Inc.","192.95","13994656360.85","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/anet",
"ARRS","ARRIS International plc","28.39","5324159134.14","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/arrs",
"ASML","ASML Holding N.V.","172.9","12254573476.6","70876654","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/asml",
"AZPN","Aspen Technology, Inc.","64.57","4720015925.13","n/a","1994","Technology","EDP Services","http://www.nasdaq.com/symbol/azpn",
"ALOT","AstroNova, Inc.","12.85","86639403.1","n/a","1983","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/alot",
"ASUR","Asure Software Inc","12.67","157376553.32","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/asur",
"TEAM","Atlassian Corporation Plc","40.39","9228239142.85","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/team",
"ATOM","Atomera Incorporated","4","48642548","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/atom",
"ATTU","Attunity Ltd.","7.01","119607739.45","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/attu",
"AUO","AU Optronics Corp","4.07","3917067759.77","n/a","2002","Technology","Semiconductors","http://www.nasdaq.com/symbol/auo",
"ADSK","Autodesk, Inc.","118.57","25989624845.36","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adsk",
"ATHM","Autohome Inc.","61.82","7127674387.68","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/athm",
"ADP","Automatic Data Processing, Inc.","113.09","50262028109.52","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/adp",
"AUTO","AutoWeb, Inc.","7.57","96312716.36","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/auto",
"AVNW","Aviat Networks, Inc.","17.01","90458448.57","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/avnw",
"AVID","Avid Technology, Inc.","4.67","192076231.38","n/a","1993","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/avid",
"AWRE","Aware, Inc.","4.55","98867691.65","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/awre",
"ACLS","Axcelis Technologies, Inc.","28.4","886755948.4","n/a","2000","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acls",
"AXTI","AXT Inc","9.4","363353644.2","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/axti",
"BOSC","B.O.S. Better Online Solutions","1.91","6181369.29","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bosc",
"BIDU","Baidu, Inc.","260.32","71723382019.2","275520060","2005","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/bidu",
"RATE","Bankrate, Inc.","13.95","1251237982.05","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/rate",
"CUDA","Barracuda Networks, Inc.","22.65","1199730477.45","n/a","2013","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/cuda",
"BBSI","Barrett Business Services, Inc.","58.05","423495531.9","n/a","1993","Technology","Professional Services","http://www.nasdaq.com/symbol/bbsi",
"BV","Bazaarvoice, Inc.","4.75","406554974.75","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bv",
"BHE","Benchmark Electronics, Inc.","35.4","1767315582.6","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/bhe",
"BNFT","Benefitfocus, Inc.","30.45","949424970.9","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bnft",
"BGSF","BG Staffing Inc","17.2","150661267.2","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"BKYI","BIO-key International, Inc.","2.55","16571016.9","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bkyi",
"BITA","Bitauto Holdings Limited","49.98","3534886729.5","n/a","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/bita",
"BBOX","Black Box Corporation","3.2","48440665.6","n/a","n/a","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/bbox",
"BKI","Black Knight, Inc.","44.55","6836275863.45","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bki",
"BLKB","Blackbaud, Inc.","89.96","4323573227.48","n/a","2004","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/blkb",
"BBRY","BlackBerry Limited","11.39","6041385481.52","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bbry",
"BL","BlackLine, Inc.","33.28","1746206026.24","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bl",
"BDR","Blonder Tongue Laboratories, Inc.","0.43","3492389.05","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"EPAY","Bottomline Technologies, Inc.","32.66","1319069826.46","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/epay",
"BOX","Box, Inc.","19.2","2568290150.4","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/box",
"BLIN          ","Bridgeline Digital, Inc.","2.6799","11257852.5552","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/blin",
"BCOV","Brightcove Inc.","7.15","245567650.9","n/a","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/bcov",
"AVGO","Broadcom Limited","250.4","102158030241.6","n/a","2009","Technology","Semiconductors","http://www.nasdaq.com/symbol/avgo",
"BSFT","BroadSoft, Inc.","53.55","1660788668.7","n/a","2010","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bsft",
"BVSN","BroadVision, Inc.","4.275","21226708.8","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bvsn",
"BRCD","Brocade Communications Systems, Inc.","12.29","5085800286.86","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/brcd",
"BRKS","Brooks Automation, Inc.","30.37","2118589941","n/a","1995","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/brks",
"CA","CA Inc.","33.63","14167313463","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ca",
"CCMP","Cabot Microelectronics Corporation","81.65","2066242820.05","n/a","2000","Technology","Semiconductors","http://www.nasdaq.com/symbol/ccmp",
"CACI","CACI International, Inc.","142.15","3483904455.35","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"CDNS","Cadence Design Systems, Inc.","41.39","11597519390","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cdns",
"CAI","CAI International, Inc.","30.99","596451018.36","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cai",
"CAMP","CalAmp Corp.","23.91","851228517.6","n/a","1983","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/camp",
"CALD","Callidus Software, Inc.","25.3","1711359449.8","n/a","2003","Technology","EDP Services","http://www.nasdaq.com/symbol/cald",
"CSIQ","Canadian Solar Inc.","15.75","910864599.75","n/a","2006","Technology","Semiconductors","http://www.nasdaq.com/symbol/csiq",
"CARB","Carbonite, Inc.","22.3","619918904.2","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/carb",
"CARS","Cars.com Inc.","27.74","1985882660.38","n/a","2017","Technology","EDP Services","http://www.nasdaq.com/symbol/cars",
"CSLT","Castlight Health, inc.","4.55","599177392.45","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/cslt",
"CAVM","Cavium, Inc.","68.94","4740308471.16","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/cavm",
"CLS","Celestica, Inc.","12.52","1566081026.88","n/a","1998","Technology","Electrical Products","http://www.nasdaq.com/symbol/cls",
"CRNT","Ceragon Networks Ltd.","2.07","161343183.69","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/crnt",
"CERN","Cerner Corporation","71.52","23714788624.8","n/a","1986","Technology","EDP Services","http://www.nasdaq.com/symbol/cern",
"CEVA","CEVA, Inc.","43.9","964229916.5","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/ceva",
"CYOU","Changyou.com Limited","39.67","762265238.52","19215156","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyou",
"ECOM          ","ChannelAdvisor Corporation","12.15","321140695.95","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ecom",
"CHKP","Check Point Software Technologies Ltd.","117.71","19536941262.84","n/a","1996","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chkp",
"CMCM","Cheetah Mobile Inc.","8.51","1222317638.45","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cmcm",
"CVR","Chicago Rivet & Machine Co.","31.55","30481464.6","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"CNIT","China Information Technology, Inc.","1.27","51093571.93","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnit",
"CCIH","ChinaCache International Holdings Ltd.","1.12","22414530.88","20012974","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/ccih",
"CNET","ChinaNet Online Holdings, Inc.","1.23","15178866.66","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","21.65","273852105.7","12649058","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/imos",
"CRUS","Cirrus Logic, Inc.","55.02","3510401060.46","n/a","1989","Technology","Semiconductors","http://www.nasdaq.com/symbol/crus",
"CSCO","Cisco Systems, Inc.","33.59","166336197035.09","n/a","1990","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/csco",
"CISN","Cision Ltd.","13.35","1610476208.7","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cisn",
"CTXS","Citrix Systems, Inc.","80.57","12207267455.25","n/a","1995","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ctxs",
"CLNT","Cleantech Solutions International, Inc.","4.97","9750498.87","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clnt",
"CLDR","Cloudera, Inc.","15.78","2074772436.54","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cldr",
"CTSH","Cognizant Technology Solutions Corporation","73.6","43469830057.6","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/ctsh",
"CHUBA","CommerceHub, Inc.","23.11","999495205.48","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chuba",
"CHUBK","CommerceHub, Inc.","22.01","951920790.68","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/chubk",
"COMM","CommScope Holding Company, Inc.","32.34","6242955803.7","n/a","2013","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/comm",
"CVLT","Commvault Systems, Inc.","62.3","2835717884.3","n/a","2006","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cvlt",
"CPSI","Computer Programs and Systems, Inc.","29.95","411983993.7","n/a","2002","Technology","EDP Services","http://www.nasdaq.com/symbol/cpsi",
"CTG","Computer Task Group, Incorporated","5.39","84621868.1","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ctg",
"CMTL","Comtech Telecommunications Corp.","22.69","535165001.29","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/cmtl",
"CCUR","Concurrent Computer Corporation","6","59364618","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/ccur",
"CNXR","Connecture, Inc.","0.66","15099339.42","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cnxr",
"CVG","Convergys Corporation","25.98","2423416738.2","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/cvg",
"CLGX","CoreLogic, Inc.","48.34","4075482364.64","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/clgx",
"CSOD","Cornerstone OnDemand, Inc.","40.26","2318131345.2","n/a","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/csod",
"CPAH","CounterPath Corporation","2.3891","13231277.7835","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cpah",
"COUP","Coupa Software Incorporated","35.37","1895979528.27","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/coup",
"CRAY","Cray Inc","20.1","811446547.5","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/cray",
"CREE","Cree, Inc.","29.39","2870958064.79","n/a","1993","Technology","Semiconductors","http://www.nasdaq.com/symbol/cree",
"CRTO","Criteo S.A.","45.6","2910678232.8","63830663","2013","Technology","Advertising","http://www.nasdaq.com/symbol/crto",
"CCRN","Cross Country Healthcare, Inc.","13.45","490848375.35","n/a","2001","Technology","Professional Services","http://www.nasdaq.com/symbol/ccrn",
"CSGS","CSG Systems International, Inc.","40.92","1374282527.64","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/csgs",
"CSPI","CSP Inc.","10.9625","43012278.6375","n/a","1982","Technology","EDP Services","http://www.nasdaq.com/symbol/cspi",
"CSRA","CSRA Inc.","31.03","5072627295.11","n/a","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/csra",
"CTS","CTS Corporation","25.65","844739811.9","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/cts",
"CW","Curtiss-Wright Corporation","110.95","4897100670.7","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cw",
"CVV","CVD Equipment Corporation","11.8","75287516.4","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvv",
"CYBR","CyberArk Software Ltd.","42.11","1449561836.31","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cybr",
"CY","Cypress Semiconductor Corporation","15.99","5316485662.41","n/a","1986","Technology","Semiconductors","http://www.nasdaq.com/symbol/cy",
"CYRN","CYREN Ltd.","1.85","72492483.1","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cyrn",
"DQ","DAQO New Energy Corp.","32.6","342920671.4","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/dq",
"DWCH","Datawatch Corporation","11.95","145783547","n/a","1992","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dwch",
"DVMT","Dell Technologies Inc.","79.36","16121235635.2","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/dvmt",
"DTRM","Determine, Inc. ","2.15","31403798.7","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/dtrm",
"DGII","Digi International Inc.","11.25","298571703.75","n/a","1989","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/dgii",
"DMRC","Digimarc Corporation","36.5","411256742","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dmrc",
"DGLY","Digital Ally, Inc.","2.3","15965981.3","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dgly",
"DIOD","Diodes Incorporated","32.04","1572309076.68","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/diod",
"DLHC","DLH Holdings Corp.","6","69598656","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/dlhc",
"DOV","Dover Corporation","93.82","14610989680.5","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dov",
"DSPG","DSP Group, Inc.","13.85","308158428.1","n/a","1994","Technology","Semiconductors","http://www.nasdaq.com/symbol/dspg",
"DST","DST Systems, Inc.","56.12","3395756269.16","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/dst",
"DXC","DXC Technology Company","87.65","24953036428","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dxc",
"ETN","Eaton Corporation, PLC","78.53","34930144000","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/etn",
"EBIX","Ebix, Inc.","66.1","2078979910.1","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ebix",
"ELON","Echelon Corporation","4.99","22226233.45","n/a","1998","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/elon",
"SATS","EchoStar Corporation","55.98","5354407620.36","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/sats",
"EDGW","Edgewater Technology, Inc.","6.48","90332528.4","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/edgw",
"EGAN","eGain Corporation","3.45","93945469.95","n/a","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/egan",
"EA","Electronic Arts Inc.","116.05","35827851789.95","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ea",
"EFII","Electronics for Imaging, Inc.","41.68","1933041000.24","n/a","1992","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/efii",
"ELLI","Ellie Mae, Inc.","83.97","2886762225.15","n/a","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/elli",
"ELTK","Eltek Ltd.","0.65","6592795.3","n/a","1997","Technology","Electrical Products","http://www.nasdaq.com/symbol/eltk",
"EMAN","eMagin Corporation","2.2","76939676","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/eman",
"EMKR","EMCORE Corporation","8.55","229816818","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/emkr",
"EIGI","Endurance International Group Holdings, Inc.","7.95","1137784156.8","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/eigi",
"WATT","Energous Corporation","12.56","275063258.96","n/a","2014","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/watt",
"ERII","Energy Recovery, Inc.","8.03","430219463.63","n/a","2008","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/erii",
"ENPH","Enphase Energy, Inc.","1.4","118413428","n/a","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/enph",
"EPAM","EPAM Systems, Inc.","90.63","4760190032.31","n/a","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/epam",
"PLUS","ePlus inc.","96.65","1369258720.2","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus",
"ERIC","Ericsson","5.76","1878989281.92","326213417","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"EVBG","Everbridge, Inc.","26.81","753234832.14","n/a","2016","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/evbg",
"MRAM","Everspin Technologies, Inc.","12.6","159697326.6","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/mram",
"EVTC","Evertec, Inc.","15.4","1114672097","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/evtc",
"EVOL","Evolving Systems, Inc.","4.8","60113155.2","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/evol",
"EXA","Exa Corporation","24.2","364653247.2","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/exa",
"EXTN","Exterran Corporation","31.98","1144676321.88","n/a","2015","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/extn",
"EXTR","Extreme Networks, Inc.","12.26","1386388863.14","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/extr",
"FFIV","F5 Networks, Inc.","115.99","7370769322.07","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ffiv",
"FB","Facebook, Inc.","172.74","501670917920.16","n/a","2012","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb",
"FDS","FactSet Research Systems Inc.","178.13","6987735119.57","n/a","1996","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fds",
"SFUN","Fang Holdings Limited","4.19","1822890087","n/a","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/sfun",
