"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DDD","3D Systems Corporation","12.96","1474851227.04","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ddd",
"WUBA","58.com Inc.","65.32","9508924641.68","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/wuba",
"ATEN","A10 Networks, Inc.","7.63","539946449.35","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/aten",
"AAN","Aaron&#39;s,  Inc.","42.96","3117963810.96","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aan",
"ATU","Actuant Corporation","26.2","1564037427","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/atu",
"ASX","Advanced Semiconductor Engineering, Inc.","6.34","10490856385.06","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/asx",
"AER","Aercap Holdings N.V.","52","8497768552","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/aer",
"HIVE","Aerohive Networks, Inc.","4.11","221420779.59","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/hive",
"AL","Air Lease Corporation","43.84","4524815745.92","n/a","2011","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/al",
"AYR","Aircastle Limited","23.99","1888341782.95","n/a","2006","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ayr",
"AYX","Alteryx, Inc.","21.13","1241347965.77","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ayx",
"AMBR","Amber Road, Inc.","8.34","226505217.66","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ambr",
"AMN","AMN Healthcare Services Inc","42.25","2025750441","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/amn",
"ANET","Arista Networks, Inc.","192.95","13994656360.85","n/a","2014","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/anet",
"AUO","AU Optronics Corp","4.07","3917067759.77","n/a","2002","Technology","Semiconductors","http://www.nasdaq.com/symbol/auo",
"ATHM","Autohome Inc.","61.82","7127674387.68","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/athm",
"RATE","Bankrate, Inc.","13.95","1251237982.05","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/rate",
"CUDA","Barracuda Networks, Inc.","22.65","1199730477.45","n/a","2013","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/cuda",
"BHE","Benchmark Electronics, Inc.","35.4","1767315582.6","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/bhe",
"BITA","Bitauto Holdings Limited","49.98","3534886729.5","n/a","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/bita",
"BKI","Black Knight, Inc.","44.55","6836275863.45","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/bki",
"BOX","Box, Inc.","19.2","2568290150.4","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/box",
"CACI","CACI International, Inc.","142.15","3483904455.35","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/caci",
"CAI","CAI International, Inc.","30.99","596451018.36","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/cai",
"CARS","Cars.com Inc.","27.74","1985882660.38","n/a","2017","Technology","EDP Services","http://www.nasdaq.com/symbol/cars",
"CSLT","Castlight Health, inc.","4.55","599177392.45","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/cslt",
"CLS","Celestica, Inc.","12.52","1566081026.88","n/a","1998","Technology","Electrical Products","http://www.nasdaq.com/symbol/cls",
"ECOM          ","ChannelAdvisor Corporation","12.15","321140695.95","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ecom",
"CMCM","Cheetah Mobile Inc.","8.51","1222317638.45","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cmcm",
"CISN","Cision Ltd.","13.35","1610476208.7","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cisn",
"CLDR","Cloudera, Inc.","15.78","2074772436.54","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/cldr",
"CVG","Convergys Corporation","25.98","2423416738.2","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/cvg",
"CLGX","CoreLogic, Inc.","48.34","4075482364.64","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/clgx",
"CSRA","CSRA Inc.","31.03","5072627295.11","n/a","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/csra",
"CTS","CTS Corporation","25.65","844739811.9","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/cts",
"CW","Curtiss-Wright Corporation","110.95","4897100670.7","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cw",
"DQ","DAQO New Energy Corp.","32.6","342920671.4","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/dq",
"DVMT","Dell Technologies Inc.","79.36","16121235635.2","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/dvmt",
"DOV","Dover Corporation","93.82","14610989680.5","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dov",
"DST","DST Systems, Inc.","56.12","3395756269.16","n/a","1995","Technology","EDP Services","http://www.nasdaq.com/symbol/dst",
"DXC","DXC Technology Company","87.65","24953036428","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dxc",
"ETN","Eaton Corporation, PLC","78.53","34930144000","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/etn",
"ELLI","Ellie Mae, Inc.","83.97","2886762225.15","n/a","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/elli",
"EPAM","EPAM Systems, Inc.","90.63","4760190032.31","n/a","2012","Technology","EDP Services","http://www.nasdaq.com/symbol/epam",
"EVTC","Evertec, Inc.","15.4","1114672097","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/evtc",
"EXTN","Exterran Corporation","31.98","1144676321.88","n/a","2015","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/extn",
"FDS","FactSet Research Systems Inc.","178.13","6987735119.57","n/a","1996","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fds",
"SFUN","Fang Holdings Limited","4.19","1822890087","n/a","2010","Technology","EDP Services","http://www.nasdaq.com/symbol/sfun",
"FIT","Fitbit, Inc.","6.56","1528035481.28","n/a","2015","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/fit",
"GDI","Gardner Denver Holdings, Inc.","26.86","5263331101.28","n/a","2017","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gdi",
"GIMO","Gigamon Inc.","37.8","1414457326.8","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/gimo",
"GLOB","Globant S.A.","41.9","1462310000","n/a","2014","Technology","EDP Services","http://www.nasdaq.com/symbol/glob",
"GDDY","GoDaddy Inc.","43.92","7252485707.52","n/a","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/gddy",
"GHM","Graham Corporation","22.08","215692586.88","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/ghm",
"GWRE","Guidewire Software, Inc.","79.38","5954273716.86","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gwre",
"HHS","Harte-Hanks, Inc.","1.05","65117580.15","n/a","1993","Technology","Advertising","http://www.nasdaq.com/symbol/hhs",
"HPE","Hewlett Packard Enterprise Company","14.94","24194794640.04","n/a","2015","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/hpe",
"HPQ","HP Inc.","20.41","34089891712.11","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/hpq",
"HUBS","HubSpot, Inc.","83.8","3102745196.2","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/hubs",
"ITW","Illinois Tool Works Inc.","151.44","52117988164.8","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/itw",
"INFY","Infosys Limited","14.58","33489778451.76","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/infy",
"IPHI","Inphi Corporation","38.86","1643137276.32","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/iphi",
"NSP","Insperity, Inc.","93.1","1940803564","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/nsp",
"INST","Instructure, Inc.","33.85","995216369.15","n/a","2015","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/inst",
"IBM","International Business Machines Corporation","147.62","137573026643.14","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/ibm",
"IPG","Interpublic Group of Companies, Inc. (The)","20.55","8081671291.8","n/a","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/ipg",
"INXN","InterXion Holding N.V.","52.12","3703647200","n/a","2011","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/inxn",
"JBL","Jabil Inc.","28.4","5090492310.8","n/a","1993","Technology","Electrical Products","http://www.nasdaq.com/symbol/jbl",
"JKS","JinkoSolar Holding Company Limited","22.6","735551306.8","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/jks",
"JBT","John Bean Technologies Corporation","99.85","3157564438.15","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/jbt",
"JNPR","Juniper Networks, Inc.","26.86","10215086793.48","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/jnpr",
"KAI","Kadant Inc","100.1","1101532532.1","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kai",
"KFY","Korn/Ferry International","39.73","2244446587.97","n/a","1999","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/kfy",
"KYO","Kyocera Corporation","65.06","23923275382.9","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/kyo",
"LLL","L3 Technologies, Inc.","187.66","14678401514.92","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/lll",
"LFGR","Leaf Group Ltd.","7.45","154171417.5","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/lfgr",
"LDOS","Leidos Holdings, Inc.","62.14","9396133163.3","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/ldos",
"LN","LINE Corporation","36.65","8079210661.5","n/a","2016","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/ln",
"LXFT","Luxoft Holding, Inc.","47.05","1585131390.95","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/lxft",
"MX","MagnaChip Semiconductor Corporation","11.4","388021549.2","n/a","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/mx",
"MAN","ManpowerGroup","120.71","8055510631.1","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/man",
"MRIN","Marin Software Incorporated","14","11299386","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/mrin",
"MXL","MaxLinear, Inc","23.65","1573737645.7","n/a","2010","Technology","Semiconductors","http://www.nasdaq.com/symbol/mxl",
"MFGP","Micro Focus Intl PLC","31.79","13831136391.27","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mfgp",
"MCRN","Milacron Holdings Corp.","18.5","1280977832.5","n/a","2015","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/mcrn",
"MIXT","MiX Telematics Limited","9.92","221612363.52","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mixt",
"MODN","Model N, Inc.","14.55","423303179.1","n/a","2013","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/modn",
"MSI","Motorola Solutions, Inc.","89.26","14518456051.52","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/msi",
"MULE","MuleSoft, Inc.","22.72","2929565943.36","n/a","2017","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/mule",
"NPTN","NeoPhotonics Corporation","4.81","209902671.29","n/a","2011","Technology","Semiconductors","http://www.nasdaq.com/symbol/nptn",
"NEWR","New Relic, Inc.","50.79","2768870179.5","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/newr",
"NOK","Nokia Corporation","5.88","34317255910.56","n/a","1994","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/nok",
"NQ","NQ Mobile Inc.","3.51","342990008.01","n/a","2011","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/nq",
"DCM","NTT DOCOMO, Inc","23.17","85835246799.61","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/dcm",
"OMC","Omnicom Group Inc.","74.35","17156575141.75","n/a","n/a","Technology","Advertising","http://www.nasdaq.com/symbol/omc",
"ASGN","On Assignment, Inc.","54.9","2898990931.5","n/a","1992","Technology","Professional Services","http://www.nasdaq.com/symbol/asgn",
"OOMA","Ooma, Inc.","10.5","193962258","n/a","2015","Technology","EDP Services","http://www.nasdaq.com/symbol/ooma",
"ORCL","Oracle Corporation","48.28","201495918032.92","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/orcl",
"PANW","Palo Alto Networks, Inc.","149","13684512236","n/a","2012","Technology","Computer peripheral equipment","http://www.nasdaq.com/symbol/panw",
"PKE","Park Electrochemical Corporation","18.7","378440240.2","n/a","n/a","Technology","Electrical Products","http://www.nasdaq.com/symbol/pke",
"PAYC","Paycom Software, Inc.","78.8","4694550188","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/payc",
"PNR","Pentair plc.","69.95","12694468011.45","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/pnr",
"PRO","PROS Holdings, Inc.","25","794723300","n/a","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/pro",
"PSTG","Pure Storage, Inc. ","16.01","3385844495.04","n/a","2015","Technology","Electronic Components","http://www.nasdaq.com/symbol/pstg",
"QTWO","Q2 Holdings, Inc.","41.95","1731987972","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/qtwo",
"QTM","Quantum Corporation","6.03","207867124.8","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/qtm",
"RHT","Red Hat, Inc.","119.37","21122185234.71","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/rht",
"SOL","Renesola Ltd.","2.29","46534103.01","n/a","2008","Technology","Semiconductors","http://www.nasdaq.com/symbol/sol",
"RENN","Renren Inc.","9.2","628691117.2","n/a","2011","Technology","EDP Services","http://www.nasdaq.com/symbol/renn",
"RXN","Rexnord Corporation","25.38","2633078124.54","n/a","2012","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/rxn",
"RNG","Ringcentral, Inc.","43.4","3325901929","n/a","2013","Technology","EDP Services","http://www.nasdaq.com/symbol/rng",
"RHI","Robert Half International Inc.","48.74","6150222245.86","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/rhi",
"RST","Rosetta Stone","9.87","219958033.05","n/a","2009","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/rst",
"CRM","Salesforce.com Inc","96.01","69002387000","n/a","2004","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/crm",
